,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
3304,613307,Thanjavur_Parvathinagar_D (Tamil Nadu),Thanjavur_Parvathinagar_D (Tamil Nadu),Thanjavur_Parvathinagar_D (Tamil Nadu),Thanjavur,Tamil Nadu,TRUE
3305,272172,Khalilabad_BakauliKala_DPP (Uttar Pradesh),Khalilabad_BakauliKala_DPP (Uttar Pradesh),Khalilabad_BakauliKala_DPP (Uttar Pradesh),Khalilabad,Uttar Pradesh,FALSE
3306,400087,Mumbai_AndheriEast_L (Maharashtra),Mumbai_AndheriEast_L (Maharashtra),Mumbai_AndheriEast_L (Maharashtra),Mumbai,Maharashtra,FALSE
3307,824120,Daudnagar_Tarar_D (Bihar),Daudnagar_Tarar_D (Bihar),Daudnagar_Tarar_D (Bihar),Daudnagar,Bihar,TRUE
3308,756021,Balasore_Ganeswarpur_I (Orissa),Balasore_Ganeswarpur_I (Orissa),Balasore_Ganeswarpur_I (Orissa),Balasore,Orissa,FALSE
3309,629810,Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil,Tamil Nadu,FALSE
3310,571807,Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore,Karnataka,FALSE
3311,680026,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,FALSE
3312,515001,Anantapur_AyyavaripalliRD_H (Andhra Pradesh),Anantapur_AyyavaripalliRD_H (Andhra Pradesh),Anantapur_AyyavaripalliRD_H (Andhra Pradesh),Anantapur,Andhra Pradesh,FALSE
3313,560092,Bangalore_RKHegdeNagar_L (Karnataka),Bangalore_RKHegdeNagar_L (Karnataka),Bangalore_RKHegdeNagar_L (Karnataka),Bangalore,Karnataka,FALSE
3314,591254,Gokak_Hukkeri_D (Karnataka),Gokak_Hukkeri_D (Karnataka),Gokak_Hukkeri_D (Karnataka),Gokak,Karnataka,TRUE
3315,627901,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,TRUE
3316,508285,Bhuvanagiri_Bhongir_D (Telangana),Bhuvanagiri_Bhongir_D (Telangana),Bhuvanagiri_Bhongir_D (Telangana),Bhuvanagiri,Telangana,TRUE
3317,497448,Manendragarh_JKDRoad_D (Chhattisgarh),Manendragarh_JKDRoad_D (Chhattisgarh),Manendragarh_JKDRoad_D (Chhattisgarh),Manendragarh,Chhattisgarh,FALSE
3318,160053,Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh,Chandigarh,FALSE
3319,500056,Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad,Telangana,FALSE
3320,630106,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,FALSE
3321,622315,Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai,Tamil Nadu,TRUE
3322,508233,Kodad_Nayanagar_D (Telangana),Kodad_Nayanagar_D (Telangana),Kodad_Nayanagar_D (Telangana),Kodad,Telangana,TRUE
3323,795127,Kakching_Chandel_D (Manipur),Kakching_Chandel_D (Manipur),Kakching_Chandel_D (Manipur),Kakching,Manipur,FALSE
3324,784165,Narayanpur_Panbari_D (Assam),Narayanpur_Panbari_D (Assam),Narayanpur_Panbari_D (Assam),Narayanpur,Assam,TRUE
3325,673315,Balussery_Sivapuram_D (Kerala),Balussery_Sivapuram_D (Kerala),Balussery_Sivapuram_D (Kerala),Balussery,Kerala,FALSE
3326,686515,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,TRUE
3327,577589,Davangere_Industrialarea_I (Karnataka),Davangere_Industrialarea_I (Karnataka),Davangere_Industrialarea_I (Karnataka),Davangere,Karnataka,FALSE
3328,521138,Pamarru_Sivalayam_D (Andhra Pradesh),Pamarru_Sivalayam_D (Andhra Pradesh),Pamarru_Sivalayam_D (Andhra Pradesh),Pamarru,Andhra Pradesh,FALSE
3329,201318,Noida_Sector67Bblock_L (Uttar Pradesh),Noida_Bairangpur_GW (Uttar Pradesh),Noida_Sector67Bblock_L (Uttar Pradesh),Noida,Uttar Pradesh,FALSE
3330,211009,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,FALSE
3331,670101,Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur,Kerala,FALSE
3332,263160,Rudrapur_Amarpur_H (Uttarakhand),Rudrapur_Amarpur_H (Uttarakhand),Rudrapur_Amarpur_H (Uttarakhand),Rudrapur,Uttarakhand,FALSE
3333,614715,Thiruvarur_Thiruthuraipoondi_D (Tamil Nadu),Thiruvarur_Thiruthuraipoondi_D (Tamil Nadu),Thiruvarur_Thiruthuraipoondi_D (Tamil Nadu),Thiruthuraipoondi,Tamil Nadu,TRUE
3334,440024,Nagpur_Chikhali1_L (Maharashtra),Nagpur_Chikhali1_L (Maharashtra),Nagpur_Chikhali1_L (Maharashtra),Nagpur,Maharashtra,FALSE
3335,831021,Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur,Jharkhand,TRUE
3336,562112,Bengaluru_Bnnrghta_L (Karnataka),Bengaluru_Bnnrghta_L (Karnataka),Bengaluru_Bnnrghta_L (Karnataka),Bangalore,Karnataka,TRUE
3337,127307,CharkhiDadri_Sector9_D (Haryana),CharkhiDadri_Sector9_D (Haryana),CharkhiDadri_Sector9_D (Haryana),Charkhi Dadri,Haryana,FALSE
3338,414401,Karjat_Mirajgaon_DPP (Maharashtra),Karjat_Mirajgaon_DPP (Maharashtra),Karjat_Mirajgaon_DPP (Maharashtra),Karjat-MH,Maharashtra,TRUE
3339,363760,Viramgam_Patdi1_D (Gujarat),Viramgam_Patdi1_D (Gujarat),Viramgam_Patdi1_D (Gujarat),Viramgam,Gujarat,FALSE
3340,389250,Jhalod_Santrampur_DPP (Gujarat),Jhalod_Santrampur_DPP (Gujarat),Jhalod_Santrampur_DPP (Gujarat),Jhalod,Gujarat,FALSE
3341,207302,Jalesar_MusiyarRoad1_D (Uttar Pradesh),Jalesar_MusiyarRoad1_D (Uttar Pradesh),Jalesar_MusiyarRoad1_D (Uttar Pradesh),Jalesar,Uttar Pradesh,FALSE
3342,342008,Jodhpur_Temp_L (Rajasthan),Jodhpur_BasniPhase2_P (Rajasthan),Jodhpur_BasniPhase2_P (Rajasthan),Jodhpur,Rajasthan,FALSE
3343,416146,Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur,Maharashtra,TRUE
3344,325217,Kelwara_Sitacolony_D (Rajasthan),Kelwara_Sitacolony_D (Rajasthan),Kelwara_Sitacolony_D (Rajasthan),Kelwara,Rajasthan,FALSE
3345,793116,Shillong_Bhoirymbong2_D (Meghalaya),Shillong_Bhoirymbong2_D (Meghalaya),Shillong_Bhoirymbong2_D (Meghalaya),Shillong,Meghalaya,FALSE
3346,577558,Hiriyur_AvdaniNagar_D (Karnataka),Hiriyur_AvdaniNagar_D (Karnataka),Hiriyur_AvdaniNagar_D (Karnataka),Hiriyur,Karnataka,FALSE
3347,516390,Pulivendula_Venkatapurm_D (Andhra Pradesh),Pulivendula_Venkatapurm_D (Andhra Pradesh),Pulivendula_Venkatapurm_D (Andhra Pradesh),Pulivendula,Andhra Pradesh,FALSE
3348,301029,Alwar_TuleraRoad_I (Rajasthan),Alwar_TuleraRoad_I (Rajasthan),Alwar_TuleraRoad_I (Rajasthan),Alwar,Rajasthan,TRUE
3349,210424,Mahoba_Kiratsagar_D (Uttar Pradesh),Mahoba_Kiratsagar_D (Uttar Pradesh),Mahoba_Kiratsagar_D (Uttar Pradesh),Mahoba,Uttar Pradesh,TRUE
3350,844501,Hazratjandaha_Jhamnganj_D (Bihar),Hazratjandaha_Jhamnganj_D (Bihar),Hazratjandaha_Jhamnganj_D (Bihar),Hazrat Jandaha,Bihar,TRUE
3351,325224,Kelwara_Sitacolony_D (Rajasthan),Kelwara_Sitacolony_D (Rajasthan),Kelwara_Sitacolony_D (Rajasthan),Kelwara,Rajasthan,FALSE
3352,824216,AurangabadBR_Katharua_D (Bihar),AurangabadBR_Katharua_D (Bihar),AurangabadBR_Katharua_D (Bihar),Aurangabad-BR,Bihar,TRUE
3353,580023,Hubli_Budarshingi_H (Karnataka),Hubli_Budarshingi_H (Karnataka),Hubli_Budarshingi_H (Karnataka),Hubli,Karnataka,FALSE
3354,854202,Purnia_Chakla_D (Bihar),Purnia_Chakla_D (Bihar),Purnia_Chakla_D (Bihar),Purnia,Bihar,TRUE
3355,600115,Chennai_Semmancheri_L (Tamil Nadu),Chennai_Semmancheri_L (Tamil Nadu),Chennai_Semmancheri_L (Tamil Nadu),Chennai,Tamil Nadu,FALSE
3356,173223,Solan_Deothi_I (Himachal Pradesh),Solan_Deothi_I (Himachal Pradesh),Solan_Deothi_I (Himachal Pradesh),Solan,Himachal Pradesh,TRUE
3357,276288,Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj,Uttar Pradesh,TRUE
3358,500195,Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad,Telangana,FALSE
3359,845450,Bettiah_Manshatola_D (Bihar),Bettiah_Manshatola_D (Bihar),Bettiah_Manshatola_D (Bihar),Bettiah,Bihar,TRUE
3360,416524,Malvan_Kumbharmath_D (Maharashtra),Malvan_Kumbharmath_D (Maharashtra),Malvan_Kumbharmath_D (Maharashtra),Malvan,Maharashtra,FALSE
3361,827003,Bokaro_Chas_D (Jharkhand),Bokaro_Chas_D (Jharkhand),Bokaro_Chas_D (Jharkhand),Bokaro,Jharkhand,FALSE
3362,533297,Rajahmundry_Rajanagaram_H (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),Rajahmundry,Andhra Pradesh,FALSE
3363,523265,Addanki_AbhyudayaNagar_D (Andhra Pradesh),Addanki_AbhyudayaNagar_D (Andhra Pradesh),Addanki_AbhyudayaNagar_D (Andhra Pradesh),Addanki,Andhra Pradesh,TRUE
3364,250606,Baghpat_Barout_D (Uttar Pradesh),Baghpat_Barout_D (Uttar Pradesh),Baghpat_Barout_D (Uttar Pradesh),Baghpat,Uttar Pradesh,TRUE
3365,639207,Gujiliamparai_Aravakurichi1_DPP (Tamil Nadu),Gujiliamparai_Aravakurichi1_DPP (Tamil Nadu),Gujiliamparai_Aravakurichi1_DPP (Tamil Nadu),Gujiliamparai,Tamil Nadu,FALSE
3366,673510,Thamarassery_Raoth_D (Kerala),Thamarassery_Raoth_D (Kerala),Thamarassery_Raoth_D (Kerala),Thamarassery,Kerala,FALSE
3367,841426,Bhore_Bank_D (Bihar),Bhore_Bank_D (Bihar),Bhore_Bank_D (Bihar),Bhore,Bihar,FALSE
3368,843107,Saraiya_Saraiya_D (Bihar),Saraiya_Saraiya_D (Bihar),Saraiya_Saraiya_D (Bihar),Saraiya,Bihar,FALSE
3369,343002,Jalore_RoopNgr_D (Rajasthan),Jalore_RoopNgr_D (Rajasthan),Jalore_RoopNgr_D (Rajasthan),Jalore,Rajasthan,TRUE
3370,202122,Aligarh_Boner_I (Uttar Pradesh),Aligarh_Boner_I (Uttar Pradesh),Aligarh_Boner_I (Uttar Pradesh),Aligarh,Uttar Pradesh,FALSE
3371,712234,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,FALSE
3372,516155,Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel,Andhra Pradesh,TRUE
3373,781344,Nalbari_Chokbazar_D (Assam),Nalbari_Chokbazar_D (Assam),Nalbari_Chokbazar_D (Assam),Nalbari,Assam,TRUE
3374,141415,Khanna_Motinagar_D (Punjab),Khanna_Motinagar_D (Punjab),Khanna_Motinagar_D (Punjab),Khanna,Punjab,FALSE
3375,691578,Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam,Kerala,FALSE
3376,494556,Dantewada_Wardno5_D (Chhattisgarh),Dantewada_Wardno5_D (Chhattisgarh),Dantewada_Wardno5_D (Chhattisgarh),Dantewada,Chhattisgarh,FALSE
3377,457775,Petlawad_Unnai_D (Madhya Pradesh),Petlawad_Unnai_D (Madhya Pradesh),Petlawad_Unnai_D (Madhya Pradesh),Petlawad,Madhya Pradesh,TRUE
3378,670650,Kuthuparamba_IdstrlAr_D (Kerala),Kuthuparamba_IdstrlAr_D (Kerala),Kuthuparamba_IdstrlAr_D (Kerala),Kuthuparamba,Kerala,TRUE
3379,490020,Durg_SmritiNagar_D (Chhattisgarh),Durg_SmritiNagar_D (Chhattisgarh),Durg_SmritiNagar_D (Chhattisgarh),Durg,Chhattisgarh,FALSE
3380,506170,Bhupalpally_ManjoorNgr_D (Telangana),Bhupalpally_ManjoorNgr_D (Telangana),Bhupalpally_ManjoorNgr_D (Telangana),Bhupalpally,Telangana,TRUE
3381,713362,Durgapur_Bamunara1_I (West Bengal),Durgapur_Bamunara1_I (West Bengal),Durgapur_Bamunara1_I (West Bengal),Durgapur,West Bengal,FALSE
3382,486447,Sohagi_Bhakarwar_D (Madhya Pradesh),Sohagi_Bhakarwar_D (Madhya Pradesh),Sohagi_Bhakarwar_D (Madhya Pradesh),Sohagi,Madhya Pradesh,FALSE
3383,679505,Cherpulassery_PryaPlda_D (Kerala),Cherpulassery_PryaPlda_D (Kerala),Cherpulassery_PryaPlda_D (Kerala),Cherpulassery,Kerala,TRUE
3384,487114,Narsinghpur_Dhedwara_D (Madhya Pradesh),Narsinghpur_Dhedwara_D (Madhya Pradesh),Narsinghpur_Dhedwara_D (Madhya Pradesh),Narsinghpur,Madhya Pradesh,TRUE
3385,734301,Kalimpong_Ward22_D (West Bengal),Kalimpong_Ward22_D (West Bengal),Kalimpong_Ward22_D (West Bengal),Kalimpong,West Bengal,FALSE
3386,680616,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,TRUE
3387,712136,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,FALSE
3388,518343,Yemignur_Timmappacolony_D (Andhra Pradesh),Yemignur_Timmappacolony_D (Andhra Pradesh),Yemignur_Timmappacolony_D (Andhra Pradesh),Yemmiganur,Andhra Pradesh,TRUE
3389,813105,Bhagalpur_Vikramshila_D (Bihar),Bhagalpur_Vikramshila_D (Bihar),Bhagalpur_Vikramshila_D (Bihar),Bhagalpur,Bihar,FALSE
3390,691532,Ayoor_Alayamon_D (Kerala),Ayoor_Alayamon_D (Kerala),Ayoor_Alayamon_D (Kerala),Ayoor,Kerala,TRUE
3391,845434,Jiwdhara_Kotwa_D (Bihar),Jiwdhara_Kotwa_D (Bihar),Jiwdhara_Kotwa_D (Bihar),Jiwdhara,Bihar,FALSE
3392,244712,Kashipur_DhimarKhera_D (Uttarakhand),Kashipur_DhimarKhera_D (Uttarakhand),Kashipur_DhimarKhera_D (Uttarakhand),Kashipur,Uttarakhand,FALSE
3393,843108,Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur,Bihar,FALSE
3394,342002,Jodhpur_Temp_L (Rajasthan),Jodhpur_BasniPhase2_P (Rajasthan),Jodhpur_BasniPhase2_P (Rajasthan),Jodhpur,Rajasthan,FALSE
3395,262576,Dharchula_Suwa_DPP (Uttarakhand),Dharchula_Suwa_DPP (Uttarakhand),Dharchula_Suwa_DPP (Uttarakhand),Dharchula,Uttarakhand,FALSE
3396,415610,Sangameshwar_Terye1_DPP (Maharashtra),Sangameshwar_Terye1_DPP (Maharashtra),Sangameshwar_Terye1_DPP (Maharashtra),Sangameshwar,Maharashtra,FALSE
3397,791125,Likabali_AaloRd_D (Arunachal Pradesh),Likabali_AaloRd_D (Arunachal Pradesh),Likabali_AaloRd_D (Arunachal Pradesh),Likabali,Arunachal Pradesh,TRUE
3398,464337,Khurai_Ward11_DPP (Madhya Pradesh),Khurai_Ward11_DPP (Madhya Pradesh),Khurai_Ward11_DPP (Madhya Pradesh),Khurai,Madhya Pradesh,TRUE
3399,391776,Vadodara_Dashrath_H (Gujarat),Vadodara_Temp_H (Gujarat),Vadodara_Dashrath_H (Gujarat),Vadodara,Gujarat,FALSE
3400,334603,Lunkaransar_Ward14_D (Rajasthan),Lunkaransar_Ward14_D (Rajasthan),Lunkaransar_Ward14_D (Rajasthan),Lunkaransar,Rajasthan,TRUE
3401,232118,ChakiaUP_Ward5_D (Uttar Pradesh),ChakiaUP_Ward5_D (Uttar Pradesh),ChakiaUP_Ward5_D (Uttar Pradesh),ChakiaUP,Uttar Pradesh,FALSE
3402,758044,Kendujhar_Jhumpura_D (Orissa),Kendujhar_Jhumpura_D (Orissa),Kendujhar_Jhumpura_D (Orissa),Kendujhar,Orissa,FALSE
3403,400077,Mumbai_Chembur1_L (Maharashtra),Mumbai_Chembur1_L (Maharashtra),Mumbai_Chembur1_L (Maharashtra),Mumbai,Maharashtra,FALSE
3404,612605,Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam,Tamil Nadu,FALSE
3405,431738,Parbhani_Gajanannagar_D (Maharashtra),Parbhani_Gajanannagar_D (Maharashtra),Parbhani_Gajanannagar_D (Maharashtra),Parbhani,Maharashtra,
3406,424203,Pachora_PungaonRoad_D (Maharashtra),Pachora_PungaonRoad_D (Maharashtra),Pachora_PungaonRoad_D (Maharashtra),Pachora,Maharashtra,FALSE
3407,636102,Attur_KaaduRd_D (Tamil Nadu),Attur_KaaduRd_D (Tamil Nadu),Attur_KaaduRd_D (Tamil Nadu),Attur,Tamil Nadu,TRUE
3408,250110,Meerut_Temp2_L (Uttar Pradesh),Meerut_Panchlikhurd_H (Uttar Pradesh),Meerut_Temp2_L (Uttar Pradesh),Meerut,Uttar Pradesh,FALSE
3409,232106,Chandauli_Srikantpur_D (Uttar Pradesh),Chandauli_Srikantpur_D (Uttar Pradesh),Chandauli_Srikantpur_D (Uttar Pradesh),Chandauli,Uttar Pradesh,FALSE
3410,360375,Jetpur_Dasijivanpara_D (Gujarat),Jetpur_Dasijivanpara_D (Gujarat),Jetpur_Dasijivanpara_D (Gujarat),Jetpur,Gujarat,TRUE
3411,722145,Khatra_Simlapal_DPP (West Bengal),Khatra_Simlapal_DPP (West Bengal),Khatra_Simlapal_DPP (West Bengal),Khatra,West Bengal,FALSE
3412,743129,Naihati_Jagatdal_DPP (West Bengal),Naihati_Jagatdal_DPP (West Bengal),Naihati_Jagatdal_DPP (West Bengal),Naihati,West Bengal,TRUE
3413,322203,Nadoti_Gangapurcity_D (Rajasthan),Nadoti_Gangapurcity_D (Rajasthan),Nadoti_Gangapurcity_D (Rajasthan),Nadoti,Rajasthan,FALSE
3414,144624,Begowal_PinkMrkt_D (Punjab),Begowal_PinkMrkt_D (Punjab),Begowal_PinkMrkt_D (Punjab),Begowal,Punjab,FALSE
3415,444006,Akola_Midcphase3_H (Maharashtra),Akola_Midcphase3_H (Maharashtra),Akola_Midcphase3_H (Maharashtra),Akola,Maharashtra,FALSE
3416,734401,Siliguri_Jugibhita_GW (West Bengal),Siliguri_Jugibhita_GW (West Bengal),Siliguri_Jugibhita_GW (West Bengal),Siliguri,West Bengal,FALSE
3417,843116,Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur,Bihar,TRUE
3418,764041,Koraput_Balda_DPP (Orissa),Koraput_Balda_DPP (Orissa),Koraput_Balda_DPP (Orissa),Koraput,Orissa,FALSE
3419,686611,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,FALSE
3420,803111,Pavapuri_Jalmandirrd_D (Bihar),Pavapuri_Jalmandirrd_D (Bihar),Pavapuri_Jalmandirrd_D (Bihar),Pavapuri,Bihar,FALSE
3421,577416,Shimoga_Eshwariah_I (Karnataka),Shimoga_Eshwariah_I (Karnataka),Shimoga_Eshwariah_I (Karnataka),Shimoga,Karnataka,FALSE
3422,506244,Ghanpur_Palakrty_D (Telangana),Ghanpur_Palakrty_D (Telangana),Ghanpur_Palakrty_D (Telangana),Ghanpur,Telangana,TRUE
3423,782450,KampurTown_Baithalngso_D (Assam),KampurTown_Baithalngso_D (Assam),KampurTown_Baithalngso_D (Assam),Kampur Town,Assam,FALSE
3424,520005,Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada,Andhra Pradesh,FALSE
3425,209303,Akbarpur_NationalHospital_D (Uttar Pradesh),Akbarpur_NationalHospital_D (Uttar Pradesh),Akbarpur_NationalHospital_D (Uttar Pradesh),Akbarpur-UP,Uttar Pradesh,FALSE
3426,786157,JaytishNagar_Chapakhowa_D (Assam),JaytishNagar_Chapakhowa_D (Assam),JaytishNagar_Chapakhowa_D (Assam),JaytishNagar,Assam,FALSE
3427,507159,Khammam_Mudigonda_H (Telangana),Khammam_Mudigonda_H (Telangana),Khammam_Mudigonda_H (Telangana),Khammam,Telangana,TRUE
3428,328029,Rajakhera_Ward24_DPP (Rajasthan),Rajakhera_Ward24_DPP (Rajasthan),Rajakhera_Ward24_DPP (Rajasthan),Rajakhera,Rajasthan,FALSE
3429,283141,Shikohabad_RameshNagar_D (Uttar Pradesh),Shikohabad_RameshNagar_D (Uttar Pradesh),Shikohabad_RameshNagar_D (Uttar Pradesh),Shikohabad,Uttar Pradesh,TRUE
3430,757014,Baripada_Takatpur_D (Orissa),Baripada_Takatpur_D (Orissa),Baripada_Takatpur_D (Orissa),Baripada,Orissa,TRUE
3431,625535,Usilampatti_VIPNagar_D (Tamil Nadu),Usilampatti_VIPNagar_D (Tamil Nadu),Usilampatti_VIPNagar_D (Tamil Nadu),Usilampatti,Tamil Nadu,TRUE
3432,562108,Channapatna_2ndCross_D (Karnataka),Channapatna_2ndCross_D (Karnataka),Channapatna_2ndCross_D (Karnataka),Channapatna,Karnataka,TRUE
3433,224161,Ayodhya_Kotsarai_H (Uttar Pradesh),Ayodhya_Kotsarai_H (Uttar Pradesh),Ayodhya_Kotsarai_H (Uttar Pradesh),Ayodhya,Uttar Pradesh,TRUE
3434,670649,Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur,Kerala,FALSE
3435,530023,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
3436,380008,Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad,Gujarat,FALSE
3437,784146,Mangaldoi_Anandanagar_D (Assam),Mangaldoi_Anandanagar_D (Assam),Mangaldoi_Anandanagar_D (Assam),Mangaldoi,Assam,TRUE
3438,226013,Lucknow_Saraiya_L (Uttar Pradesh),Lucknow_Bhokapur_GW (Uttar Pradesh),Lucknow_Bhokapur_R (Uttar Pradesh),Lucknow,Uttar Pradesh,FALSE
3439,799045,Agartala_UttarChampamura_I (Tripura),NSZ,Agartala_UttarChampamura_I (Tripura),Agartala,Tripura,FALSE
3440,415705,Shringartali_Janavale1_D (Maharashtra),Shringartali_Janavale1_D (Maharashtra),Shringartali_Janavale1_D (Maharashtra),Shringartali,Maharashtra,FALSE
3441,769010,Rourkela_Kalunga_I (Orissa),Rourkela_Kalunga_I (Orissa),Rourkela_Kalunga_I (Orissa),Rourkela,Orissa,FALSE
3442,623108,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,FALSE
3443,722170,Bankura_KeranDPP_D (West Bengal),Bankura_KeranDPP_D (West Bengal),Bankura_KeranDPP_D (West Bengal),Bankura,West Bengal,TRUE
3444,493196,Bhatapara_Nayaganj_D (Chhattisgarh),Bhatapara_Nayaganj_D (Chhattisgarh),Bhatapara_Nayaganj_D (Chhattisgarh),Bhatapara,Chhattisgarh,TRUE
3445,509371,Mahbubnagar_Boyapally_I (Telangana),Mahbubnagar_Boyapally_I (Telangana),Mahbubnagar_Boyapally_I (Telangana),Mahabubnagar,Telangana,TRUE
3446,671316,Kanhangad_Ajanur_D (Kerala),Kanhangad_Ajanur_D (Kerala),Kanhangad_Ajanur_D (Kerala),Kanhangad,Kerala,FALSE
3447,848209,Singhia_Shayampur_D (Bihar),Singhia_Shayampur_D (Bihar),Singhia_Shayampur_D (Bihar),Singhia,Bihar,TRUE
3448,520008,Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada,Andhra Pradesh,FALSE
3449,176042,Bhota_BpassDPP_D (Himachal Pradesh),Bhota_BpassDPP_D (Himachal Pradesh),Bhota_BpassDPP_D (Himachal Pradesh),Bhota,Himachal Pradesh,FALSE
3450,391121,Rajpipla_DSPOffice_DPP (Gujarat),Rajpipla_DSPOffice_DPP (Gujarat),Rajpipla_DSPOffice_DPP (Gujarat),Rajpipla,Gujarat,TRUE
3451,451669,Sendhwa_Julwaniya_H (Madhya Pradesh),Sendhwa_Julwaniya_H (Madhya Pradesh),Sendhwa_Julwaniya_H (Madhya Pradesh),Sendhwa,Madhya Pradesh,TRUE
3452,276138,Jiyanpur_GorkhpurRd_D (Uttar Pradesh),Jiyanpur_GorkhpurRd_D (Uttar Pradesh),Jiyanpur_GorkhpurRd_D (Uttar Pradesh),Jiyanpur,Uttar Pradesh,FALSE
3453,846001,Darbhanga_Madhpur_I (Bihar),Darbhanga_Madhpur_I (Bihar),Darbhanga_Madhpur_I (Bihar),Darbhanga,Bihar,FALSE
3454,621126,Perambalur_Supernagar_D (Tamil Nadu),Perambalur_Supernagar_D (Tamil Nadu),Perambalur_Supernagar_D (Tamil Nadu),Perambalur,Tamil Nadu,TRUE
