,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
35,626154,Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam,Tamil Nadu,TRUE
36,609304,Mayavaram_Manakkudi_I (Tamil Nadu),Mayavaram_Manakkudi_I (Tamil Nadu),Mayavaram_Manakkudi_I (Tamil Nadu),Mayiladuthurai,Tamil Nadu,TRUE
37,203394,Anupshahar_Nehruganj_D (Uttar Pradesh),Anupshahar_Nehruganj_D (Uttar Pradesh),Anupshahar_Nehruganj_D (Uttar Pradesh),Anupshahar,Uttar Pradesh,TRUE
38,390006,Vadodara_Dashrath_H (Gujarat),Vadodara_Temp_H (Gujarat),Vadodara_Dashrath_H (Gujarat),Vadodara,Gujarat,FALSE
39,382333,Ahmedabad_Sanathal_L (Gujarat),Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Sanathal_L (Gujarat),Ahmedabad,Gujarat,TRUE
40,123035,Rewari_LaxmiNagar_D (Haryana),Rewari_LaxmiNagar_D (Haryana),Rewari_LaxmiNagar_D (Haryana),Rewari,Haryana,TRUE
41,742148,Raghunathganj_Talai_D (West Bengal),Raghunathganj_Talai_D (West Bengal),Raghunathganj_Talai_D (West Bengal),Raghunathganj,West Bengal,TRUE
42,767029,Saintala_Blockroad_DPP (Orissa),Saintala_Blockroad_DPP (Orissa),Saintala_Blockroad_DPP (Orissa),Saintala,Orissa,TRUE
43,504214,Chennur_Indranagar_D (Telangana),Chennur_Indranagar_D (Telangana),Chennur_Indranagar_D (Telangana),Chinnur,Telangana,TRUE
44,385011,Palanpur_Esbipura1_D (Gujarat),Palanpur_Esbipura1_D (Gujarat),Palanpur_Esbipura1_D (Gujarat),Palanpur,Gujarat,TRUE
45,679312,Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam,Kerala,FALSE
46,802211,Malyabag_ArrahRd_D (Bihar),Malyabag_ArrahRd_D (Bihar),Malyabag_ArrahRd_D (Bihar),Malyabag,Bihar,TRUE
47,735209,Chalsa_BusStand_D (West Bengal),Chalsa_BusStand_D (West Bengal),Chalsa_BusStand_D (West Bengal),Chalsa,West Bengal,TRUE
48,843331,Sitamarhi_Sursand_D (Bihar),Sitamarhi_Sursand_D (Bihar),Sitamarhi_Sursand_D (Bihar),Sitamarhi,Bihar,FALSE
49,620027,Tiruchi_Navalur_H (Tamil Nadu),Tiruchi_Navalur_H (Tamil Nadu),Tiruchi_Navalur_H (Tamil Nadu),Tiruchi,Tamil Nadu,FALSE
50,522301,Tenali_Pandurngpet_D (Andhra Pradesh),Tenali_Pandurngpet_D (Andhra Pradesh),Tenali_Pandurngpet_D (Andhra Pradesh),Tenali,Andhra Pradesh,TRUE
51,403501,Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa,Goa,FALSE
52,341503,Degana_KKNagar_D (Rajasthan),Degana_KKNagar_D (Rajasthan),Degana_KKNagar_D (Rajasthan),Degana,Rajasthan,FALSE
53,756142,Bhadrak_Mathasahi_I (Orissa),Bhadrak_Mathasahi_I (Orissa),Bhadrak_Mathasahi_I (Orissa),Bhadrak,Orissa,FALSE
54,143203,Tarsikka_BabaBakala_D (Punjab),Tarsikka_BabaBakala_D (Punjab),Tarsikka_BabaBakala_D (Punjab),Tarsikka,Punjab,TRUE
55,251201,Khatauli_GTRoad_D (Uttar Pradesh),Khatauli_GTRoad_D (Uttar Pradesh),Khatauli_GTRoad_D (Uttar Pradesh),Khatauli,Uttar Pradesh,FALSE
56,500264,Hyderabad_Shamshbd_H (Telangana),Hyderabad_Shamshbd_H (Telangana),Hyderabad_Shamshbd_H (Telangana),Hyderabad,Telangana,FALSE
57,413002,Solapur_Balepeth_I (Maharashtra),Solapur_Balepeth_I (Maharashtra),Solapur_Balepeth_I (Maharashtra),Solapur,Maharashtra,TRUE
58,144819,Begowal_PinkMrkt_D (Punjab),Begowal_PinkMrkt_D (Punjab),Begowal_PinkMrkt_D (Punjab),Begowal,Punjab,FALSE
59,603302,Chengalpattu_Cheyyur_D (Tamil Nadu),Chengalpattu_Cheyyur_D (Tamil Nadu),Chengalpattu_Cheyyur_D (Tamil Nadu),Chengalpattu,Tamil Nadu,TRUE
60,690507,Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla,Kerala,TRUE
61,631002,Arakkonam_Ramdasnagar_D (Tamil Nadu),Arakkonam_Ramdasnagar_D (Tamil Nadu),Arakkonam_Ramdasnagar_D (Tamil Nadu),Arakkonam,Tamil Nadu,TRUE
62,632301,Arani_PolurRd_D (Tamil Nadu),Arani_PolurRd_D (Tamil Nadu),Arani_PolurRd_D (Tamil Nadu),Arani,Tamil Nadu,TRUE
63,271875,Bahraich_Dularpur_H (Uttar Pradesh),Bahraich_Dularpur_H (Uttar Pradesh),Bahraich_Dularpur_H (Uttar Pradesh),Bahraich,Uttar Pradesh,TRUE
64,737136,Rangpo_Majitar_I (Sikkim),Rangpo_Majitar_I (Sikkim),Rangpo_Majitar_I (Sikkim),Rangpo,Sikkim,FALSE
65,400701,Mumbai_MahapeMIDC_L (Maharashtra),Mumbai_MahapeMIDC_L (Maharashtra),Mumbai_MahapeMIDC_L (Maharashtra),Navi mumbai,Maharashtra,FALSE
66,480331,Chhindwara_Badnoor1_DPP (Madhya Pradesh),Chhindwara_Badnoor1_DPP (Madhya Pradesh),Chhindwara_Badnoor1_DPP (Madhya Pradesh),Chhindwara,Madhya Pradesh,FALSE
67,636107,Attur_KaaduRd_D (Tamil Nadu),Attur_KaaduRd_D (Tamil Nadu),Attur_KaaduRd_D (Tamil Nadu),Attur,Tamil Nadu,TRUE
68,307020,Sirohi_Vedhaynathcolony_D (Rajasthan),Sirohi_Vedhaynathcolony_D (Rajasthan),Sirohi_Vedhaynathcolony_D (Rajasthan),Sirohi,Rajasthan,TRUE
69,110403,Delhi_MundkaIndustArea_L (Delhi),Delhi_MundkaIndustArea_L (Delhi),Delhi_MundkaIndustArea_L (Delhi),Delhi,Delhi,FALSE
70,416231,Mudal_Adamapur_DPP (Maharashtra),Mudal_Adamapur_DPP (Maharashtra),Mudal_Adamapur_DPP (Maharashtra),Mudal,Maharashtra,FALSE
71,622422,Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai,Tamil Nadu,FALSE
72,224231,Akbarpur_AmbedkarNgr_D (Uttar Pradesh),Akbarpur_AmbedkarNgr_D (Uttar Pradesh),Akbarpur_AmbedkarNgr_D (Uttar Pradesh),Akbarpur,Uttar Pradesh,FALSE
73,276207,Azamgarh_Husanganj_H (Uttar Pradesh),Azamgarh_Husanganj_H (Uttar Pradesh),Azamgarh_Husanganj_H (Uttar Pradesh),Azamgarh,Uttar Pradesh,TRUE
74,623504,Ramnthpurm_TnhbBlkC_D (Tamil Nadu),Ramnthpurm_TnhbBlkC_D (Tamil Nadu),Ramnthpurm_TnhbBlkC_D (Tamil Nadu),Ramanathapuram,Tamil Nadu,FALSE
75,524126,Naidupeta_BharathNgr_D (Andhra Pradesh),Naidupeta_BharathNgr_D (Andhra Pradesh),Naidupeta_BharathNgr_D (Andhra Pradesh),Naidupeta,Andhra Pradesh,TRUE
76,811106,Lakhisarai_Central_I_2 (Bihar),Lakhisarai_Central_I_2 (Bihar),Lakhisarai_Central_I_2 (Bihar),Lakhisarai,Bihar,TRUE
77,673624,Perambra_KayipramRd_D (Kerala),Perambra_KayipramRd_D (Kerala),Perambra_KayipramRd_D (Kerala),Perambra,Kerala,FALSE
78,243201,Baheri_Mahadevpuram_D (Uttar Pradesh),Baheri_Mahadevpuram_D (Uttar Pradesh),Baheri_Mahadevpuram_D (Uttar Pradesh),Baheri,Uttar Pradesh,FALSE
79,172033,Anni_Dalash2_DPP (Himachal Pradesh),Anni_Dalash2_DPP (Himachal Pradesh),Anni_Dalash2_DPP (Himachal Pradesh),Anni,Himachal Pradesh,FALSE
80,509103,Kothakota_Wanaprthy_D (Telangana),Kothakota_Wanaprthy_D (Telangana),Kothakota_Wanaprthy_D (Telangana),Kothakota,Telangana,FALSE
81,251311,Muzaffarnagar_Transportnagar_D (Uttar Pradesh),Muzaffarnagar_Transportnagar_D (Uttar Pradesh),Muzaffarnagar_Transportnagar_D (Uttar Pradesh),Muzaffarnagar,Uttar Pradesh,TRUE
82,475661,Datia_ShardaVihar_DPP (Madhya Pradesh),Datia_ShardaVihar_DPP (Madhya Pradesh),Datia_ShardaVihar_DPP (Madhya Pradesh),Datia,Madhya Pradesh,TRUE
83,230501,Amethi_HardevNagar_D (Uttar Pradesh),Amethi_HardevNagar_D (Uttar Pradesh),Amethi_HardevNagar_D (Uttar Pradesh),Amethi,Uttar Pradesh,TRUE
84,444003,Akola_Midcphase3_H (Maharashtra),Akola_Midcphase3_H (Maharashtra),Akola_Midcphase3_H (Maharashtra),Akola,Maharashtra,FALSE
85,621005,Tiruchi_Navalur_H (Tamil Nadu),Tiruchi_Navalur_H (Tamil Nadu),Tiruchi_Navalur_H (Tamil Nadu),Tiruchi,Tamil Nadu,FALSE
86,676123,Edavanna_MNRd_D (Kerala),Edavanna_MNRd_D (Kerala),Edavanna_MNRd_D (Kerala),Edavanna,Kerala,TRUE
87,636805,Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode,Tamil Nadu,FALSE
88,679535,Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam,Kerala,TRUE
89,628552,Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti,Tamil Nadu,TRUE
90,277506,Ballia_GorkprRd_D (Uttar Pradesh),Ballia_GorkprRd_D (Uttar Pradesh),Ballia_GorkprRd_D (Uttar Pradesh),Ballia,Uttar Pradesh,FALSE
91,638008,Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode,Tamil Nadu,FALSE
92,382440,Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Kanera_GW (Gujarat),Ahmedabad,Gujarat,FALSE
93,403503,Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa,Goa,FALSE
