pincode,city,state,global_cargo_region,is_oda,deliverable,safexpress_is_oda,bluedart_region
301021,Laxmangarh,Rajasthan,N2,0,1,0,NORTH
302034,Jaipur,Rajasthan,N2,0,1,0,NORTH
382705,Kadi,Gujarat,,0,1,0,WEST
585302,Aland,Karnataka,S2,0,1,,SOUTH
124001,Rohtak,Haryana,N2,1,1,0,NORTH
363510,Limbdi,Gujarat,,0,1,,WEST
535204,Bhogapuram,Andhra Pradesh,S2,1,1,,SOUTH
768034,Dunguripali,Orissa,E2,1,1,,EAST
480667,Seoni,Madhya Pradesh,C2,1,1,,WEST
201102,Ghaziabad,Uttar Pradesh,N1,0,1,,NORTH
488448,Pawai,Madhya Pradesh,C2,0,1,,WEST
520012,Vijayawada,Andhra Pradesh,S2,0,1,0,SOUTH
732214,Malda,West Bengal,E2,1,1,,EAST
609602,Karaikal,Pondicherry,S2,1,1,,SOUTH
742132,Khargram,West Bengal,E2,1,1,,EAST
382450,Botad,Gujarat,,1,1,,WEST
591265,Bijapur,Karnataka,S2,0,1,,SOUTH
515286,Amarapuram,Andhra Pradesh,S2,0,1,,SOUTH
629156,Nagercoil,Tamil Nadu,S2,0,1,,SOUTH
404404,Shrigonda,Maharashtra,W2,1,1,,WEST
110036,Delhi,Delhi,N1,0,1,0,NORTH
753001,Cuttack,Orissa,E2,0,1,0,EAST
411025,Pune,Maharashtra,W1,0,1,0,WEST
583137,Harpanahalli,Karnataka,S2,1,1,,SOUTH
712223,Dankuni,West Bengal,E2,0,1,,EAST
134104,Pinjore,Haryana,N2,1,1,0,NORTH
680013,Thrissur,Kerala,S3,0,1,0,SOUTH
695004,Thiruvananthapuram,Kerala,S3,0,1,0,SOUTH
604407,Cheyyar,Tamil Nadu,S2,1,1,,SOUTH
244502,Kanth,Uttar Pradesh,N2,1,1,,NORTH
628613,Tiruchendur,Tamil Nadu,S2,1,1,,SOUTH
440014,Nagpur,Maharashtra,C1,0,1,0,WEST
534015,Eluru,Andhra Pradesh,S2,,0,0,SOUTH
700001,Kolkata,West Bengal,E1,0,1,0,EAST
591122,Gokak,Karnataka,S2,0,1,,SOUTH
581303,Karwar,Karnataka,S2,1,1,,SOUTH
753009,Cuttack,Orissa,E2,0,1,0,EAST
627430,Ambasamudram,Tamil Nadu,S2,1,1,0,SOUTH
577501,Chitradurga,Karnataka,S2,0,1,,SOUTH
802218,Dinara,Bihar,E2,0,1,,EAST
274509,Salempur,Uttar Pradesh,N2,0,1,,NORTH
243751,Babrala,Uttar Pradesh,N2,0,1,,NORTH
614630,Manamelkudi,Tamil Nadu,S2,1,1,,SOUTH
465683,Pachore,Madhya Pradesh,C2,1,1,,WEST
144804,Tarsikka,Punjab,N2,1,1,,NORTH
223106,Shahganj,Uttar Pradesh,N2,0,1,,NORTH
486890,Singrauli,Madhya Pradesh,C2,0,1,,WEST
210301,Hamirpur-UP,Uttar Pradesh,N2,0,1,,NORTH
160037,Chandigarh,Chandigarh,N2,0,1,0,
313024,Udaipur,Rajasthan,N2,0,1,0,NORTH
711315,Bagnan,West Bengal,E2,1,1,,EAST
574166,Mangalore,Karnataka,S2,0,1,0,SOUTH
843144,Dholi,Bihar,E2,1,1,,EAST
627254,Tirunelveli,Tamil Nadu,S2,0,1,,SOUTH
271841,Nighasan,Uttar Pradesh,N2,1,1,,NORTH
673620,Koyilandy,Kerala,S3,1,1,,SOUTH
